Alpha,Formula,Definition,Tags
Alpha#1,"(rank(Ts_ArgMax(SignedPower(((returns < 0) ? stddev(returns,20):close),2.),5))-0.5)",說明：對每隻股票過去5天按照收盤價最高，或者下跌波動率最高進可以排名。下跌波動率最高的一天離計算時間越近，越可以投資。收盤價最高離計算時間越近，越可以投資。,mean reversion+momentum
Alpha#2,"(-1*correlation(rank(delta(log(volume),2)),rank(((close-open)/open)),6))",說明：對每一隻股票計算過去6天每天的與前一天的log(V)的差和當日報酬率。對所有股票，計算兩個的rank，對rank進可以correlation計算。如果正相關性越高，越不能投資。負相關性越高，越能投資。如果價格下降最大的時候對應於交易量最大的時候，或者價格上升最大的時候對應於交易量下降最大的時候，則可以投資。如果量價齊升或者齊跌，則不交易。,量價理論
Alpha#3,"(-1*correlation(rank(open),rank(volume),10))",說明：過去10天中，開盤價趨勢和當日交易量趨勢成正比的情況下，不投資。成反比的情況下，進可以投資。,量價理論
Alpha#4,"(-1 * Ts_Rank(rank(low),9))",說明：相當於如果最低價在過去1天的時候，最低價的絕對值大小排名有所下降(變得更加便宜)，則購買。,mean reversion
Alpha#5,"(rank((open-(sum(vwap,10)/10)))*(-1*abs(rank((close-vwap)))))",說明：如果一隻股票，過去一天日的開盤價遠低於過去十天的平均價格，並且，其過去一天日收盤價遠高於過去一天日的vwap，則購買。,momentum
Alpha#6,"(-1 * correlation(open, volume, 10))",說明：過去10天中，每日的開盤價與當日的成交量之間的相關關係。如果開盤價和成交量與去年同期相比上升或者下降，則不投資，如果兩者完全相反，則投資。,量價理論
Alpha#7,"((adv20<volume) ? ((-1 * ts_rank(abs(delta(close, 7)), 60)) * sign(delta(close, 7))) : (-1*1))",說明：計算過去一天日的，七天收盤價差值*正負號，按照60天內的每個過去七天差值排序後，乘以負號。如果過去一天日成交額小於前20日平均值，則直接返回-1。這裏的潛在意義是：如果交易量走高，並且同時過去一天的價格下降在過去60天內的排名較高，則投資。,量價理論
Alpha#8,"(-1*rank(((sum(open,5)*sum(returns,5))-delay((sum(open,5)*sum(return,5)),10))))",說明：如果10天前的dollar return總和遠超出過去一天的時候的dollar return，則投資。如果過去一天的5天dolloar return遠高於10天前的5天dollar return，則不投資。,mean reversion
Alpha#9,"((0 < ts_min(delta(close,1),5)) ? delta(close,1): ((ts_max(delta(close,1), 5)<0 ? delta(close,1) : (-1 * delta(close,1)))))",說明：如果過去5天價格上升且過去一天上升的越多，就越可以投資。如果過去5天價格不斷下降，則過去一天下降的越多越不可以投資。如果過去5天，價格有升有降，則過去一天的時候如果下降的越多，越可以投資。,momentum + mean reversion
Alpha#10,"rank(((0<ts_min(delta(close,1),4))?delta(close,1) : ((ts_max(delta(close,1),4) < 0) ? delta(close,1) : (-1 * delta(close,1)))))",說明：如果過去4天價格上升且過去一天上升的越多，就越可以投資。如果過去4天價格不斷下降，則過去一天下降的越多越不可以投資。如果過去4天，價格有升有降，則過去一天的時候如果下降的越多，越可以投資同上，並且分數採用rank方式進可以計算。,momentum + mean reversion
Alpha#11,"((rank(ts_max((vwap-close),3))+rank(ts_min((vwap-close),3)))*rank(delta(volume, 3)))",說明：前兩項的和在波動率較大的時候會更高，如果一隻股票波動率高，而且交易量劇增，則越值得投資。相反，如果交易量暴跌，則不值得投資。,量價理論
Alpha#12,"(sign(delta(volume,1)) * (-1 * delta(close,1)))",說明：如果過去一天日漲的多，並且交易量下降，則投資。如果過去一天跌的多，並且交易量漲的多，則投資。,量價理論
Alpha#13,"(-1*rank(covariance(rank(close),rank(volume),5)))",說明：計算過去5日的收盤價與交易量關聯度，如果正關聯則不投資，負關聯投資。,量價理論
Alpha#14,"((-1*rank(delta(returns,3)))*correlation(open,volume,10))",說明：計算過去一天與過去四天的收益率的差值，乘以過去10日表現出的開盤價與交易量的關聯度。如果過去3天return推高，量價相反，則投資。在量價理論的基礎上，增加了return的差值作爲大小的衡量區分。,量價理論
Alpha#15,"(-1*sum(rank(correlation(rank(high),rank(volume), 3)), 3))",說明：計算過去3天的最高價與交易量關係。rank的加總越低的越可以投資。,量價理論
Alpha#16,"(-1*rank(covariance(rank(high),rank(volume),5)))",說明：計算過去5天的最高價與交易量關係。rank的加總越低的越可以投資。,量價理論
Alpha#17,"(((-1*rank(ts_rank(close,10)))*rank(delta(delta(close,1),1)))*rank(ts_rank((volume / adv20), 5)))",說明：-1*（與過去10天的收盤價趨勢成正比，與收盤價變化的變化成正比，與過去5天的交易量趨勢成正比）。也就是說，如果收盤價漲的厲害，return變化率又高，交易量還大漲，則不可以投資。如果收盤價跌的厲害，return變化率又高，交易量還大漲，則可以投資。,量價理論
Alpha#18,"(-1*rank(((stddev(abs((close-open)),5) + (close-open)) + correlation(close, open, 10))))",說明：計算過去5天的日內價差絕對值的標準差+日內價差+過去10天的日內價差的相關度。計算rank。波動率越低越好，當日價差越低越好，收盤價與開盤價之間的關聯度越低越好的情況值得投資。,mean reversion
